vertices,edges,procs,seq_time_sec,dist_time_sec,compute_sec,comm_sec,comm_pct,speedup_vs_seq,speedup_vs_p1,efficiency,correct
50,250,1,0.000110649,0.000105475,0.0001008,4.675e-06,4.43,1.049,1.000,1.000,yes
50,250,2,0.000110649,0.000197954,5.5121e-05,0.000142833,72.15,0.559,0.533,0.266,yes
50,250,4,0.000110649,0.000246951,5.1475e-05,0.000195476,79.16,0.448,0.427,0.107,yes
50,250,8,0.000110649,0.000368234,1.4812e-05,0.000353422,95.98,0.300,0.286,0.036,yes
50,250,16,0.000110649,0.0678908,1.3434e-05,0.0678773,99.98,0.002,0.002,0.000,yes
300,1500,1,0.0209577,0.0172547,0.0172223,3.2359e-05,0.19,1.215,1.000,1.000,yes
300,1500,2,0.0209577,0.0190169,0.0175287,0.00148821,7.83,1.102,0.907,0.454,yes
300,1500,4,0.0209577,0.0106251,0.00879043,0.00183469,17.27,1.972,1.624,0.406,yes
300,1500,8,0.0209577,0.00611194,0.00428747,0.00182447,29.85,3.429,2.823,0.353,yes
300,1500,16,0.0209577,0.00524507,0.00205139,0.00319367,60.89,3.996,3.290,0.206,yes
700,3500,1,0.26211,0.24171,0.241379,0.000330304,0.14,1.084,1.000,1.000,yes
700,3500,2,0.26211,0.131157,0.122623,0.00853417,6.51,1.998,1.843,0.921,yes
700,3500,4,0.26211,0.0972997,0.0891225,0.00817713,8.40,2.694,2.484,0.621,yes
700,3500,8,0.26211,0.0669434,0.0303702,0.0365731,54.63,3.915,3.611,0.451,yes
700,3500,16,0.26211,0.0662587,0.0295305,0.0367282,55.43,3.956,3.648,0.228,yes
1200,6000,1,1.30061,1.23008,1.22907,0.00101363,0.08,1.057,1.000,1.000,yes
1200,6000,2,1.30061,0.634872,0.600699,0.0341725,5.38,2.049,1.938,0.969,yes
1200,6000,4,1.30061,0.349195,0.311296,0.0378985,10.85,3.725,3.523,0.881,yes
1200,6000,8,1.30061,0.336876,0.297304,0.0395725,11.75,3.861,3.651,0.456,yes
1200,6000,16,1.30061,0.221528,0.148761,0.0727669,32.85,5.871,5.553,0.347,yes
2000,10000,1,7.44271,5.181,5.17735,0.00365229,0.07,1.437,1.000,1.000,yes
2000,10000,2,7.44271,2.67374,2.58329,0.0904533,3.38,2.784,1.938,0.969,yes
2000,10000,4,7.44271,1.45288,1.31998,0.132897,9.15,5.123,3.566,0.892,yes
2000,10000,8,7.44271,1.39448,0.642377,0.752101,53.93,5.337,3.715,0.464,yes
2000,10000,16,7.44271,0.84277,0.645975,0.196795,23.35,8.831,6.148,0.384,yes
