category,size_name,m,n,p,P,run,time_seconds
seq,small,200,200,200,0,1,0.00477773
seq,small,200,200,200,0,2,0.00477873
seq,small,200,200,200,0,3,0.00459784
mpi,small,200,200,200,1,1,0.00476905
mpi,small,200,200,200,1,2,0.00453859
mpi,small,200,200,200,1,3,0.0047122
mpi,small,200,200,200,2,1,0.018308
mpi,small,200,200,200,2,2,0.00297734
mpi,small,200,200,200,2,3,0.00296633
mpi,small,200,200,200,4,1,0.0029619
mpi,small,200,200,200,4,2,0.00179479
mpi,small,200,200,200,4,3,0.00181465
mpi,small,200,200,200,8,1,0.00174136
mpi,small,200,200,200,8,2,0.00172029
mpi,small,200,200,200,8,3,0.00174175
seq,medium,500,500,500,0,1,0.0672625
seq,medium,500,500,500,0,2,0.0670288
seq,medium,500,500,500,0,3,0.066713
mpi,medium,500,500,500,1,1,0.067368
mpi,medium,500,500,500,1,2,0.0671039
mpi,medium,500,500,500,1,3,0.0669497
mpi,medium,500,500,500,2,1,0.0351196
mpi,medium,500,500,500,2,2,0.0357694
mpi,medium,500,500,500,2,3,0.0350987
mpi,medium,500,500,500,4,1,0.0199572
mpi,medium,500,500,500,4,2,0.0199203
mpi,medium,500,500,500,4,3,0.0198106
mpi,medium,500,500,500,8,1,0.0121283
mpi,medium,500,500,500,8,2,0.0130963
mpi,medium,500,500,500,8,3,0.0122847
seq,large,1000,1000,1000,0,1,0.525969
seq,large,1000,1000,1000,0,2,0.526648
seq,large,1000,1000,1000,0,3,0.525527
mpi,large,1000,1000,1000,1,1,0.528405
mpi,large,1000,1000,1000,1,2,0.528612
mpi,large,1000,1000,1000,1,3,0.528599
mpi,large,1000,1000,1000,2,1,0.303784
mpi,large,1000,1000,1000,2,2,0.296996
mpi,large,1000,1000,1000,2,3,0.307378
mpi,large,1000,1000,1000,4,1,0.146327
mpi,large,1000,1000,1000,4,2,0.145556
mpi,large,1000,1000,1000,4,3,0.149316
mpi,large,1000,1000,1000,8,1,0.095268
mpi,large,1000,1000,1000,8,2,0.0812049
mpi,large,1000,1000,1000,8,3,0.0811718
seq,very_large,2000,2000,2000,0,1,4.22433
seq,very_large,2000,2000,2000,0,2,4.20858
seq,very_large,2000,2000,2000,0,3,4.23209
mpi,very_large,2000,2000,2000,1,1,4.20486
mpi,very_large,2000,2000,2000,1,2,4.20592
mpi,very_large,2000,2000,2000,1,3,4.20316
mpi,very_large,2000,2000,2000,2,1,2.42251
mpi,very_large,2000,2000,2000,2,2,2.4266
mpi,very_large,2000,2000,2000,2,3,2.40799
mpi,very_large,2000,2000,2000,4,1,1.27508
mpi,very_large,2000,2000,2000,4,2,1.25702
mpi,very_large,2000,2000,2000,4,3,1.24126
mpi,very_large,2000,2000,2000,8,1,0.676708
mpi,very_large,2000,2000,2000,8,2,0.680329
mpi,very_large,2000,2000,2000,8,3,0.679959
