records,procs,seq_time_sec,dist_time_sec,compute_sec,comm_sec,comm_pct,speedup_vs_seq,speedup_vs_p1,efficiency,correct
100000,1,0.00134635,0.00303993,0.00146679,0.00157313,51.75,0.443,1.000,1.000,yes
100000,2,0.00134635,0.00225162,0.000753306,0.00149832,66.54,0.598,1.350,0.675,yes
100000,4,0.00134635,0.00165864,0.000391975,0.00126667,76.37,0.812,1.833,0.458,yes
100000,8,0.00134635,0.00183652,0.000278154,0.00155836,84.85,0.733,1.655,0.207,yes
100000,16,0.00134635,0.00253151,0.000138618,0.00239289,94.52,0.532,1.201,0.075,yes
500000,1,0.00618737,0.0160994,0.00741008,0.00868935,53.97,0.384,1.000,1.000,yes
500000,2,0.00618737,0.0122261,0.00385479,0.00837135,68.47,0.506,1.317,0.658,yes
500000,4,0.00618737,0.00787703,0.00196534,0.00591169,75.05,0.785,2.044,0.511,yes
500000,8,0.00618737,0.00919725,0.00131632,0.00788093,85.69,0.673,1.750,0.219,yes
500000,16,0.00618737,0.00953742,0.000719293,0.00881812,92.46,0.649,1.688,0.106,yes
1000000,1,0.0121284,0.0289555,0.0150472,0.0139083,48.03,0.419,1.000,1.000,yes
1000000,2,0.0121284,0.0201541,0.00752168,0.0126324,62.68,0.602,1.437,0.718,yes
1000000,4,0.0121284,0.0149996,0.00389547,0.0111042,74.03,0.809,1.930,0.483,yes
1000000,8,0.0121284,0.0121675,0.00199538,0.0101721,83.60,0.997,2.380,0.297,yes
1000000,16,0.0121284,0.0135837,0.00143586,0.0121479,89.43,0.893,2.132,0.133,yes
2000000,1,0.0241217,0.051716,0.0296624,0.0220536,42.64,0.466,1.000,1.000,yes
2000000,2,0.0241217,0.0340648,0.015036,0.0190289,55.86,0.708,1.518,0.759,yes
2000000,4,0.0241217,0.0258536,0.00789382,0.0179598,69.47,0.933,2.000,0.500,yes
2000000,8,0.0241217,0.024958,0.0053042,0.0196538,78.75,0.966,2.072,0.259,yes
2000000,16,0.0241217,0.0226465,0.00276006,0.0198864,87.81,1.065,2.284,0.143,yes
5000000,1,0.0603589,0.126227,0.0759943,0.0502328,39.80,0.478,1.000,1.000,yes
5000000,2,0.0603589,0.0800882,0.0395352,0.0405531,50.64,0.754,1.576,0.788,yes
5000000,4,0.0603589,0.057567,0.0211637,0.0364033,63.24,1.048,2.193,0.548,yes
5000000,8,0.0603589,0.0536383,0.0131958,0.0404424,75.40,1.125,2.353,0.294,yes
5000000,16,0.0603589,0.048502,0.00680706,0.0416949,85.97,1.244,2.603,0.163,yes
